datetime,site,year,temp.ben,do.ben,dosat.ben,par.ben,temp.pel,do.pel,dosat.pel,par.pel,k,wdir,wspeed,wspeedbw,gust
2018-06-18T07:00:00Z,st33,2018,10.95,10.9755,102.852106583333,6.07355,10.94,11.06,103.5,17.12545,0.450694560448264,348,8,8,10.3
2018-06-18T08:00:00Z,st33,2018,11.004,10.7735,101.085885416666,10.155575,11.025,10.895,102.2,26.783375,0.422117697845346,343,7.7,8.4,10.8
2018-06-18T09:00:00Z,st33,2018,10.989,10.7466666666667,100.799074916667,15.03495,11.055,10.85,101.85,41.41965,0.440424551007823,334,7.3,7.5,10.2
2018-06-18T10:00:00Z,st33,2018,10.97625,10.7665833333333,100.956131833334,29.471425,11.035,10.83,101.65,81.24645,0.436829266497048,337,6.8,8.2,10.5
2018-06-18T11:00:00Z,st33,2018,10.99575,10.8195833333333,101.498988416666,23.000125,11.025,10.89,102.15,65.3161,0.454199310441192,334,8.1,8.1,10.4
2018-06-18T12:00:00Z,st33,2018,11.0475,10.8326666666667,101.743702833334,21.407275,11.075,10.94,102.75,63.722325,0.473625996810413,337,8.5,8.5,11.3
2018-06-18T13:00:00Z,st33,2018,11.07375,10.8373333333333,101.849339083333,17.723,11.095,10.94,102.8,54.1643,0.487559929824782,342,8.7,8.7,11.4
2018-06-18T14:00:00Z,st33,2018,11.0685833333334,10.8292916666666,94.7832164166666,11.64945,11.095,10.93,102.65,35.047325,0.479888517842528,342,7.4,8.4,11.3
2018-06-18T15:00:00Z,st33,2018,11.04975,10.7113333333334,97.2614319166665,20.112275,11.055,10.92,102.5,58.94285,0.479733766159339,342,7.5,8.3,11
2018-06-18T16:00:00Z,st33,2018,11.02575,11.2755,105.849517916667,22.800325,11.035,10.995,103.15,73.281275,0.511010626338924,347,7.2,8,11.3
2018-06-18T17:00:00Z,st33,2018,10.998,11.1860833333334,104.942596666667,11.948225,11.01,11.02,103.35,38.6317,0.509706344387346,317,7.8,7.8,10.2
2018-06-18T18:00:00Z,st33,2018,10.9425,11.11925,104.181481416667,11.64945,10.96,11.05,103.5,36.640175,0.496407967451026,323,7,8.2,10.5
2018-06-18T19:00:00Z,st33,2018,10.90425,11.05975,103.53190325,8.8615,10.91,11.005,102.95,30.26785,0.534645787374908,324,7.5,7.9,10.3
2018-06-18T20:00:00Z,st33,2018,10.8395833333334,11.0453333333333,103.241753583333,4.5806,10.86,11.065,103.35,16.5279,0.553737842254705,330,7.3,7.9,10.4
2018-06-18T21:00:00Z,st33,2018,10.7775833333334,10.9306666666667,102.022924166666,2.0905,10.8,11,102.65,7.26865,0.54590029302365,321,6.9,7.1,10.4
2018-06-18T22:00:00Z,st33,2018,10.6296666666667,10.80175,100.47259175,1.0952,10.65,10.9,101.3,3.982125,0.579382330891259,326,7.6,8.7,11.6
2018-06-18T23:00:00Z,st33,2018,10.48875,10.7376666666666,99.5481739166667,0.0999,10.41,10.855,100.35,1.1951,1.3966426226206199,331,7.6,7.8,11.1
2018-06-19T00:00:00Z,st33,2018,10.5068333333334,10.7575833333333,99.774905,0,10.48,10.87,100.6,0.1998,1.32329113172528,327,8.7,9.1,12.4
2018-06-19T01:00:00Z,st33,2018,10.4971666666667,10.7733333333334,99.898516,0,10.515,10.89,100.9,0,0,316,7.1,7.7,10.3
2018-06-19T02:00:00Z,st33,2018,10.4289166666666,10.6554166666666,98.6472339166667,0,10.455,10.845,100.4,0.0999,0.66164556586264,321,6.5,7.6,9.8
2018-06-19T03:00:00Z,st33,2018,10.2709166666667,10.6035833333334,97.8046555833333,0.298775,10.27,10.745,99.05,1.493875,1.19146135939202,331,5.5,6.9,10.1
2018-06-19T04:00:00Z,st33,2018,9.91583333333331,10.5999166666667,96.9552296666667,0.796425,9.865,10.76,98.25,2.88785,0.563269106735911,328,6.8,7.3,9.6
2018-06-19T05:00:00Z,st33,2018,9.61425,10.65175,96.7361680833333,2.98775,9.61,10.795,97.9,10.45435,0.541669762812125,330,7.3,7.3,10.2
2018-06-19T06:00:00Z,st33,2018,9.61125,10.574,96.0230863333334,6.27335,9.625,10.72,97.25,22.0039,0.54308754644697,331,7.2,8,10.7
2018-06-19T07:00:00Z,st33,2018,9.39508333333334,10.7033333333334,96.6981371666667,5.5759,9.445,10.805,97.65,20.51095,0.565833355896006,328,8.5,8.5,11
2018-06-19T08:00:00Z,st33,2018,9.17308333333333,10.8459166666666,97.4675588333334,9.9567,9.24,10.97,98.7,35.84375,0.557035627430974,328,6.6,7.4,10.7
2018-06-19T09:00:00Z,st33,2018,9.05291666666666,10.94875,98.10874,18.121675,9.09,11.03,98.85,66.90895,0.561046825956287,327,7.2,7.5,10
2018-06-19T10:00:00Z,st33,2018,8.97175,11.0120833333334,98.4843956666666,25.688175,8.99,11.115,99.35,95.58395,0.569313730179664,328,7,7.8,10.1
2018-06-19T11:00:00Z,st33,2018,9.02425,11.04375,98.8921710833333,48.5884,9.005,11.175,99.95,191.1679,0.579762712542259,336,7.3,7.3,9.4
2018-06-19T12:00:00Z,st33,2018,9.162,11.02,99.0058058333333,35.844675,9.085,11.105,99.5,111.5143,0.491881949978231,339,4.7,7.1,8.9
2018-06-19T13:00:00Z,st33,2018,9.25566666666666,11.0338333333333,99.3524485,36.6411,9.28,11.065,99.55,114.7,0.496482188466025,328,5.4,6,8.7
2018-06-19T14:00:00Z,st33,2018,9.16983333333333,11.12375,99.9570564166665,90.804475,9.135,11.22,100.65,318.613475,0.531160329166484,325,5.4,6.1,11.1
2018-06-19T15:00:00Z,st33,2018,9.29033333333333,11.1811666666667,100.763213833333,53.367875,9.285,11.235,101.1,229.40185,0.632479239878922,2,4.9,5.4,8.6
2018-06-19T16:00:00Z,st33,2018,9.36283333333333,11.1666666666667,100.806919,30.068975,9.38,11.26,101.6,113.108075,0.579138173250112,308,5.2,5.2,8.1
2018-06-19T17:00:00Z,st33,2018,9.32741666666666,11.23525,101.34023475,25.788075,9.335,11.305,101.85,106.73575,0.616238381792777,346,3.6,5.6,7.6
2018-06-19T18:00:00Z,st33,2018,9.31033333333334,11.2499166666667,101.43106825,21.904925,9.325,11.335,102.1,89.211625,0.607924111772239,329,3.2,3.7,6.4
2018-06-19T19:00:00Z,st33,2018,9.28641666666666,11.2900833333333,101.73519025,15.931275,9.335,11.36,102.4,70.095575,0.642692177019798,332,4.6,5,7.3
